CL_RN,COMERCIO_CON_MAS_CONSUMO,LIM_CREDITO,ANIO_COSECHA,COD_MORA,PAGO_CONTADO,METAL_TJT,COD_RANGO_EDAD
262,RESTAURANTES,13240.0,2019,0,N,6,8.0
263,MATERIALES/EQUIPOS DE OFICINA,83720.0,2011,0,N,3,8.0
264,RECURRENTES,46200.0,2021,0,N,1,7.0
265,GASOLINERAS,4696.0,2021,0,S,6,9.0
266,AUTOMOTRIZ,9560.0,2020,0,S,6,7.0
267,RESTAURANTES,24256.0,2021,0,N,1,6.0
268,SUPERMERCADOS,18744.0,2021,0,N,4,8.0
269,RESTAURANTES,50160.0,2021,0,N,2,7.0
270,RESTAURANTES,9240.0,2022,0,N,5,8.0
271,MEDICINA,26360.0,2019,0,N,5,11.0
272,ROPA/ACCESORIOS,15000.0,2021,0,S,5,6.0
273,SUPERMERCADOS,24000.0,2022,0,N,4,8.0
274,SUPERMERCADOS,9000.0,2021,0,N,5,8.0
275,ENTRETENIMIENTO - PARQUES,16000.0,2022,0,N,5,7.0
276,SUPERMERCADOS,17480.0,2012,0,N,6,7.0
277,GASOLINERAS,53320.0,2022,0,N,1,11.0
278,RESTAURANTES,30000.0,2021,0,N,1,7.0
279,SUPERMERCADOS,8600.0,2022,0,N,6,10.0
280,LIBROS-PERIÓDICOS,12696.0,2021,0,N,5,7.0
281,CONSTRUCCIÓN,69504.0,2021,0,S,3,8.0
282,GASOLINERAS,8096.0,2022,0,N,5,7.0
283,RESTAURANTES,34320.0,2021,0,S,3,11.0
284,OTROS BIENES Y SERVICIOS,29200.0,2012,0,N,5,7.0
285,ALOJAMIENTO,7792.0,2016,0,N,6,7.0
286,SUPERMERCADOS,29008.0,2021,0,N,1,6.0
287,ORGANISMOS,4000.0,2020,0,N,6,7.0
288,GASOLINERAS,18880.0,2021,0,S,4,10.0
289,MERCANCÍA GENERAL,6600.0,2019,0,N,5,8.0
290,SUPERMERCADOS,40000.0,2017,0,N,1,7.0
291,MEDICINA,8000.0,2022,0,N,5,6.0
292,ARTÍCULOS Y SERVICIOS PERSONALES,24000.0,2022,0,N,1,7.0
293,RESTAURANTES,16000.0,2020,0,N,5,7.0
294,ALOJAMIENTO,108400.0,2012,0,N,3,9.0
295,TELECOMUNICACIONES,8000.0,2022,0,N,5,7.0
296,REGALOS,13200.0,2021,0,N,5,6.0
296,REGALOS,16000.0,2019,0,N,6,6.0
297,TELECOMUNICACIONES,6000.0,2019,0,N,6,6.0
298,OTROS BIENES Y SERVICIOS,98280.0,2020,0,S,2,7.0
299,TELECOMUNICACIONES,13504.0,2017,0,N,6,7.0
300,SUPERMERCADOS,7056.0,2021,0,N,6,8.0
301,TRANSPORTE,4200.0,2018,0,N,6,8.0
302,SUPERMERCADOS,9000.0,2021,0,S,5,6.0
303,SUPERMERCADOS,11200.0,2021,0,N,5,6.0
304,TELECOMUNICACIONES,26280.0,2020,0,N,4,6.0
305,RECURRENTES,4000.0,2013,0,N,6,10.0
306,RESTAURANTES,80000.0,2020,0,S,1,6.0
306,RESTAURANTES,104000.0,2020,0,S,1,6.0
307,MERCANCÍA GENERAL,6000.0,2015,0,N,6,8.0
308,ENTRETENIMIENTO - PARQUES,48640.0,2013,0,N,6,6.0
309,RESTAURANTES,50640.0,2012,0,S,5,7.0
310,ENTRETENIMIENTO - PARQUES,27240.0,2019,0,S,4,9.0
311,TELECOMUNICACIONES,4000.0,2021,0,N,6,11.0
312,TELECOMUNICACIONES,4400.0,2022,0,N,6,6.0
313,SUPERMERCADOS,16800.0,2020,0,N,4,10.0
314,RESTAURANTES,9264.0,2022,0,N,5,6.0
315,SUPERMERCADOS,8000.0,2022,0,N,5,9.0
316,RESTAURANTES,7128.0,2021,0,N,6,10.0
317,SUPERMERCADOS,36432.0,2021,0,N,3,7.0
318,SUPERMERCADOS,10248.0,2022,0,N,6,7.0
319,TELECOMUNICACIONES,11280.0,2014,0,N,6,5.0
320,RESTAURANTES,12000.0,2022,0,N,4,6.0
321,GASOLINERAS,26096.0,2020,0,N,5,7.0
322,RESTAURANTES,126880.0,2018,0,N,1,9.0
323,CONSTRUCCIÓN,96480.0,2019,0,N,2,6.0
324,OTROS BIENES Y SERVICIOS,17600.0,2013,0,N,6,8.0
325,SUPERMERCADOS,13856.0,2021,0,N,6,6.0
326,RESTAURANTES,6744.0,2021,0,N,6,6.0
327,SUPERMERCADOS,20456.0,2019,0,N,5,11.0
328,COMIDA/ABARROTES,18760.0,2020,0,N,6,8.0
329,SUPERMERCADOS,45864.0,2021,0,N,1,10.0
330,RESTAURANTES,6600.0,2019,0,N,6,11.0
330,RESTAURANTES,7256.0,2021,0,N,6,11.0
331,TELECOMUNICACIONES,17200.0,2020,0,N,4,6.0
332,RESTAURANTES,16456.0,2021,0,N,6,6.0
333,RESTAURANTES,10000.0,2019,0,N,5,7.0
334,TELECOMUNICACIONES,80000.0,2020,0,N,4,5.0
335,AUTOMOTRIZ,54552.0,2022,0,N,6,7.0
336,RESTAURANTES,22000.0,2020,0,N,5,7.0
336,RESTAURANTES,24200.0,2021,0,N,1,7.0
337,SUPERMERCADOS,8000.0,2022,0,N,5,7.0
338,RESTAURANTES,10200.0,2016,0,N,6,6.0
339,RESTAURANTES,4000.0,2021,0,N,6,6.0
340,CONSTRUCCIÓN,26000.0,2021,0,S,4,6.0
341,RESTAURANTES,21960.0,2019,0,N,4,11.0
342,TELECOMUNICACIONES,5280.0,2022,0,N,6,7.0
343,SUPERMERCADOS,4000.0,2022,0,N,6,8.0
344,ENTRETENIMIENTO,6000.0,2011,0,N,6,10.0
345,RESTAURANTES,61480.0,2019,0,N,1,8.0
346,ENTRETENIMIENTO - DEPORTES,191488.0,2019,0,N,2,8.0
347,ALOJAMIENTO,42120.0,2013,0,N,5,9.0
348,SUPERMERCADOS,5200.0,2019,0,N,6,7.0
349,SUPERMERCADOS,10800.0,2022,0,N,5,7.0
350,RESTAURANTES,6000.0,2022,0,S,5,8.0
351,RESTAURANTES,5512.0,2022,0,N,6,7.0
352,GASOLINERAS,15000.0,2020,0,N,5,8.0
353,TELECOMUNICACIONES,4000.0,2021,0,N,6,8.0
354,GASOLINERAS,7000.0,2021,0,N,5,7.0
355,RESTAURANTES,180000.0,2017,0,S,4,9.0
356,ENTRETENIMIENTO - PARQUES,10400.0,2019,0,N,6,7.0
356,ENTRETENIMIENTO - PARQUES,10872.0,2022,0,N,5,7.0
357,TELECOMUNICACIONES,80000.0,2022,0,N,2,8.0
358,ALOJAMIENTO,4000.0,2021,0,N,6,5.0
359,TELECOMUNICACIONES,54640.0,1997,0,N,4,12.0
360,OTROS BIENES Y SERVICIOS,277600.0,1999,0,N,3,8.0
361,ORGANISMOS,94600.0,1998,0,N,2,8.0
362,SUPERMERCADOS,20000.0,2021,0,N,6,11.0
363,SUPERMERCADOS,198400.0,1998,0,N,3,8.0
364,ENTRETENIMIENTO - PARQUES,24000.0,2015,0,N,6,9.0
364,ENTRETENIMIENTO - PARQUES,117600.0,1997,0,N,3,9.0
365,ARTE,104000.0,2011,0,N,3,9.0
365,ARTE,120000.0,1998,0,N,4,9.0
366,ARTÍCULOS Y SERVICIOS PERSONALES,51600.0,1997,0,N,4,8.0
367,MEDICINA,88400.0,2019,0,N,6,10.0
368,ENTRETENIMIENTO - PARQUES,48000.0,2014,0,N,1,9.0
369,ENTRETENIMIENTO - DEPORTES,134400.0,2003,0,S,2,8.0
370,RESTAURANTES,190144.0,2003,0,S,4,12.0
371,ALOJAMIENTO,209600.0,2001,0,N,2,9.0
372,AUTOMOTRIZ,277600.0,2001,0,N,3,8.0
373,SUPERMERCADOS,24000.0,2017,0,S,4,11.0
373,SUPERMERCADOS,32000.0,2017,0,N,1,11.0
374,SUPERMERCADOS,180400.0,1998,0,N,4,9.0
375,VENTAS EN AMBIENTES DE TARJETA AUSENTE,16000.0,2004,0,N,6,9.0
375,VENTAS EN AMBIENTES DE TARJETA AUSENTE,130000.0,2011,0,N,3,9.0
375,VENTAS EN AMBIENTES DE TARJETA AUSENTE,152000.0,1998,0,N,3,9.0
376,ENTRETENIMIENTO,20000.0,2018,0,N,4,9.0
